instnm,Grand total (EFFY2022  All students total),Grand total (EFFY2021_RV  All students total),Grand total (EFFY2020_RV  All students total),Grand total (EFFY2019_RV  All students total),Grand total (EFFY2018_RV  All students total),Grand total (EFFY2017_RV  All students total),Grand total (EFFY2016_RV  All students total),Grand total (EFFY2015_RV  All students total),Grand total (EFFY2014_RV  All students total),Grand total (EFFY2013_RV  All students total),Grand total (EFFY2012_RV  All students total),Grand total (EFFY2011_RV  All students total),Grand total (EFFY2010_RV  All students total),Grand total (EFFY2009_RV  All students total),Grand total (EFFY2008_RV  All students total),Grand total (EFFY2007_RV  All students total),Grand total (EFFY2006_RV  All students total),Grand total (EFFY2005_RV  All students total),Grand total (EFFY2004_RV  All students total),Grand total (EFFY2003  All students total),Grand total (EFFY2002  All students total),Grand total (EF2001D1  All students total),
Augsburg University,3720,3924,4122,3920,4124,4194,4141,4077,4310,4128,4613,4935,4905,4702,4658,4514,4271,3743,3889,3593,3493,3562,
Bethel University,4686,4688,4921,4639,4277,4350,4591,4697,5005,5200,5372,5178,5029,4899,4946,5001,4714,4434,3835,3542,3429,3353,
Carleton College,2074,1985,2150,2129,2126,2155,2093,2092,2089,2087,2047,2048,2043,2053,2039,2008,2009,1996,1983,1980,2012,1972,
College of Saint Benedict,1581,1687,1789,1813,1975,2022,1989,2042,2082,2133,2138,2166,2159,2177,2160,2156,2166,2249,2307,2286,2351,2254,
Concordia College at Moorhead,2015,2063,2090,2188,2132,2178,2234,2468,2652,2711,2860,2926,2885,2924,2892,2843,2894,2922,2960,2911,2855,2958,
Gustavus Adolphus College,2265,2240,2611,2254,2198,2263,2386,2476,2465,2540,2530,2507,2543,2520,2630,2664,2618,2623,2606,2544,2536,2562,
Hamline University,3634,4084,4597,4802,5228,5633,6392,6676,7015,7341,7740,8902,8332,8756,9289,5339,5614,8854,9239,4698,5112,4370,
Macalester College,2263,2154,2118,2232,2174,2249,2238,2177,2185,2223,2236,2161,2122,2031,2060,2017,1950,2021,2038,1927,1900,1850,
Saint Johns University,1724,1752,1799,1856,1920,1933,1941,1987,2060,2107,2084,2145,2133,2185,2213,2175,2186,2318,2355,2347,2354,2464,
Saint Mary's University of Minnesota,5755,6491,6947,7590,7919,8046,8010,8130,7938,7716,7821,8656,8465,8267,8296,8270,8047,7695,7096,6525,6132,6913,
St Catherine University,4592,5054,5295,5758,5973,5970,6033,5806,5808,5903,6046,6124,6014,5918,5992,5970,5699,5553,5590,5571,5507,5306,
St Olaf College,3075,3072,3149,3119,3120,3137,3122,3113,3192,3246,3233,3233,3212,3204,3125,3142,3133,3140,3066,3104,3108,3120,
The College of Saint Scholastica,4376,4704,4930,5058,5418,5171,5287,5114,5083,4943,4890,4710,4508,4343,3873,4033,3801,3729,3319,3121,2840,2561,