Unit Id,Institution Name,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
125231,Walden University,"46,455","49,695","48,420","50,360","49,680","52,565","52,799","52,188","51,016","50,209"
172866,Academy College,85,95,105,99,65,116,124,127,149,152
172918,Alexandria Technical & Community College,"2,586","2,549","2,591","2,614","2,794","2,689","2,702","2,604","2,845","2,992"
172954,Anoka Technical College,"1,690","1,683","1,838","1,844","1,864","1,922","2,027","2,221","2,249","2,184"
172963,Anoka-Ramsey Community College,"7,951","8,482","8,804","8,845","8,954","9,058","9,294","7,877","9,320","9,497"
173045,Augsburg University,"3,166","3,346","3,425","3,419","3,562","3,621","3,458","3,528","3,662","3,645"
173063,Riverland Community College,"3,276","3,494","3,475","3,263","3,108","3,202","3,068","3,243","3,308","3,527"
173115,Northwest Technical College,794,825,947,"1,022",941,979,"1,128","1,091","1,216","1,181"
173124,Bemidji State University,"4,279","4,577","4,897","5,111","5,195","5,138","5,081","4,986","4,963","5,027"
173142,Bethany Lutheran College,798,769,741,739,651,587,524,531,579,598
173160,Bethel University,"3,731","3,814","4,005","3,692","3,797","4,016","3,952","3,979","4,340","4,343"
173203,Central Lakes College-Brainerd,"4,448","4,491","4,357","4,029","3,784","3,888","4,274","4,333","4,350","4,481"
173258,Carleton College,"2,044","1,940","2,115","2,097","2,078","2,105","2,014","2,057","2,045","2,055"
173300,Concordia College at Moorhead,"1,919","1,973","2,042","2,129","2,059","2,132","2,177","2,398","2,558","2,626"
173328,Concordia University-Saint Paul,"5,545","5,585","5,137","5,054","4,817","4,582","4,380","4,081","3,661","3,018"
173416,Dakota County Technical College,"2,451","2,319","2,433","2,523","2,478","2,566","2,783","2,910","3,128","3,711"
173452,Martin Luther College,920,968,994,972,981,937,900,857,824,799
173461,Lake Superior College,"4,373","4,762","5,230","5,281","5,059","4,793","4,862","5,101","5,394","5,422"
173470,Cosmetology Careers Unlimited College of Hair Skin and Nails,27,23,28,31,26,18,17,20,33,36
173559,Minnesota State Community and Technical College,"5,360","5,757","6,086","6,222","6,422","6,316","6,391","6,415","6,464","6,786"
173638,Minnesota West Community and Technical College,"3,347","3,253","3,421","3,362","3,162","3,050","3,026","3,182","3,231","3,467"
173647,Gustavus Adolphus College,"2,251","2,230","2,237","2,241","2,181","2,250","2,379","2,457","2,449","2,526"
173665,Hamline University,"2,931","3,113","3,404","3,526","3,734","3,852","4,258","4,469","4,581","4,683"
173683,Hazelden Betty Ford Graduate School of Addiction Studies,172,174,142,168,177,174,137,103,90,102
173708,Hennepin Technical College,"4,083","4,094","4,625","4,762","5,078","5,610","5,676","5,985","6,402","6,587"
173735,Minnesota North College,859,913,"1,034","1,118","1,208","1,319","1,344","1,302","1,376","1,318"
173744,Aveda Arts & Sciences Institute Minneapolis,618,554,478,412,443,451,487,515,489,616
173799,Inver Hills Community College,"3,729","4,071","4,192","4,264","4,479","5,050","5,515","5,958","5,944","6,114"
173805,Minnesota North College - Itasca,983,"1,058","1,062","1,195","1,211","1,218","1,209","1,222","1,248","1,262"
173896,Luther Seminary,480,501,459,493,459,462,546,622,705,767
173902,Macalester College,"2,244","2,049","2,098","2,174","2,136","2,146","2,172","2,073","2,039","2,070"
173911,South Central College,"2,511","2,653","2,775","2,746","2,787","2,807","2,960","3,387","3,410","3,904"
173920,Minnesota State University-Mankato,"14,576","14,761","14,325","14,374","14,712","15,165","15,313","15,387","15,426","15,441"
173957,Mayo Clinic College of Medicine and Science,"1,250","1,223","1,150","1,123",264,235,218,228,195,194
173993,Minnesota North College - Mesabi Range Virginia,885,926,"1,021","1,188","1,248","1,210","1,206","1,265","1,425","1,478"
174020,Metropolitan State University,"6,914","7,552","7,592","7,861","8,148","8,357","8,424","8,355","8,510","8,527"
174066,University of Minnesota-Twin Cities,"52,376","52,017","51,327","50,943","51,848","51,580","50,678","51,147","51,526","51,853"
174075,University of Minnesota-Crookston,"2,304","2,530","2,768","2,810","2,834","2,676","2,823","2,850","2,839","2,764"
174127,Minneapolis College of Art and Design,775,760,796,854,774,803,796,783,791,725
174136,Minneapolis Community and Technical College,"5,973","6,429","7,014","6,951","7,486","7,982","8,621","9,237","9,691","10,091"
174154,Herzing University-Minneapolis,759,626,515,438,375,315,288,263,262,346
174190,Minnesota School of Cosmetology-Woodbury Campus,189,149,167,143,138,136,126,122,138,194
174233,University of Minnesota-Duluth,"9,884","10,275","10,858","11,040","11,168","11,018","10,878","11,093","11,241","11,491"
174251,University of Minnesota-Morris,"1,286","1,339","1,499","1,554","1,627","1,771","1,856","1,899","1,946","1,896"
174321,Model College of Hair Design,128,75,79,80,82,95,73,92,126,131
174358,Minnesota State University Moorhead,"5,088","5,547","5,747","5,860","6,005","5,923","5,844","6,306","6,634","6,903"
174376,North Hennepin Community College,"5,173","5,756","6,198","6,286","6,550","6,864","7,286","7,384","7,562","7,752"
174428,Normandale Community College,"8,842","9,420","9,743","9,784","9,844","9,810","9,855","9,539","9,508","9,854"
174437,North Central University,"1,034","1,062","1,155","1,115","1,109","1,111","1,212","1,305","1,305","1,295"
174473,Northland Community and Technical College,"2,716","2,962","3,220","3,500","3,416","3,599","3,573","3,641","3,792","4,080"
174491,University of Northwestern-St Paul,"3,398","3,506","3,525","3,623","3,521","3,447","3,493","3,427","3,352","3,267"
174507,Northwestern Health Sciences University,"1,126","1,132","1,052",936,826,858,870,879,904,870
174525,Oak Hills Christian College,94,103,90,98,103,124,119,141,143,143
174570,Pine Technical & Community College,"1,766","1,724","1,951","2,020","1,969","1,319","1,310","1,083","1,098","1,031"
174604,Minnesota North College - Rainy River,179,173,210,236,269,322,341,325,315,381
174738,Rochester Community and Technical College,"4,658","5,115","4,944","5,129","5,115","5,280","5,584","5,894","6,057","6,275"
174747,College of Saint Benedict,"1,557","1,668","1,748","1,782","1,937","1,958","1,943","2,020","2,051","2,070"
174756,St Cloud Technical and Community College,"3,638","3,931","4,134","4,325","4,218","4,412","4,701","4,924","4,946","4,751"
174783,Saint Cloud State University,"10,774","11,841","13,049","13,928","14,975","15,744","16,096","16,076","16,765","16,922"
174792,Saint Johns University,"1,643","1,668","1,727","1,777","1,815","1,849","1,869","1,895","1,979","1,983"
174817,Saint Mary's University of Minnesota,"4,701","5,152","5,548","5,560","5,754","5,640","5,931","5,825","5,528","5,574"
174844,St Olaf College,"2,988","2,953","3,072","3,048","3,035","3,040","3,046","3,034","3,125","3,176"
174862,Crown College,"1,476","1,485","1,522","1,510","1,353","1,328","1,153","1,278","1,323","1,269"
174899,The College of Saint Scholastica,"3,512","3,712","3,906","4,043","4,276","4,351","4,329","4,204","4,206","4,100"
174914,University of St Thomas,"9,336","9,792","9,824","10,035","9,878","9,920","10,148","10,140","10,192","10,289"
174978,Empire Beauty School-Bloomington,144,129,130,132,121,105,129,104,148,126
175005,St Catherine University,"3,904","4,277","4,401","4,859","4,724","4,786","4,961","5,055","5,017","5,075"
175014,Rasmussen University-Minnesota,"3,914","3,927","3,971","4,121","4,509","4,786","5,385","5,395","5,485","5,755"
175041,Saint Paul College,"5,083","5,823","6,656","6,912","6,940","6,949","6,428","6,600","6,740","6,746"
175078,Southwest Minnesota State University,"6,986","7,259","7,058","7,167","7,154","7,495","7,276","7,069","6,917","6,999"
175120,Summit Academy Opportunities Industrialization Center,409,257,442,384,371,312,291,258,252,297
175139,United Theological Seminary of the Twin Cities,197,147,118,97,83,84,110,129,128,132
175157,Minnesota North College - Vermilion,575,554,637,660,724,653,655,712,711,772
175227,Dunwoody College of Technology,"1,382","1,281","1,358","1,316","1,301","1,264","1,094","1,070","1,071","1,131"
175236,Ridgewater College,"2,846","3,176","3,255","3,298","3,366","3,580","3,563","3,753","3,766","4,068"
175263,Minnesota State College Southeast,"1,838","1,912","1,930","1,850","1,920","2,039","2,059","2,177","2,207","2,301"
175272,Winona State University,"6,545","7,106","7,605","7,792","7,981","8,139","8,490","8,684","8,782","8,919"
175281,Mitchell Hamline School of Law,"1,220","1,242","1,168","1,154","1,095",927,738,665,813,924
175315,Century College,"7,678","8,203","8,695","8,891","8,745","8,925","8,996","9,478","10,073","10,476"
374024,Adler Graduate School,233,267,309,297,317,298,311,368,380,335
380368,Fond du Lac Tribal and Community College,"1,525","1,639","1,701","1,982","1,946","2,101","2,227","2,215","2,272","2,307"
413413,Capella University,"38,716","38,930","37,859","37,171","36,284","37,569","37,074","35,061","34,007","35,754"
413626,Leech Lake Tribal College,156,133,146,173,181,286,348,297,348,338
417600,Hastings Beauty School,16,14,11,21,31,30,18,36,39,23
428453,Minnesota State Colleges and Universities System Office,-,-,-,-,-,-,-,-,-,-
434751,White Earth Tribal and Community College,123,141,121,104,90,77,68,69,60,87
443979,PCI Academy-Plymouth,90,106,112,122,94,103,85,75,57,44
446002,American Academy of Health and Wellness,36,43,85,90,98,88,66,57,65,75
454616,Institute of Production and Recording,128,133,187,203,212,213,232,243,242,300
456135,Empire Beauty School-Spring Lake Park,89,79,90,95,94,86,126,109,110,125
456959,University of Minnesota-Rochester,646,632,572,533,472,435,416,488,495,414
457679,Avalon School of Cosmetology,18,19,19,25,18,25,31,29,33,52
459426,Nova Academy of Cosmetology,177,130,112,111,74,39,59,89,84,92
486053,Bethlehem College & Seminary,205,210,192,203,186,195,191,-,-,-
486284,Bethany Global University,328,359,352,346,312,271,179,-,-,-
491844,Red Lake Nation College,152,106,130,143,-,-,-,-,-,-